NOME DA BARRAGEM DE MINERAÇÃO	Latitute Decimal	Longitude Decimal	UF	MUNICÍPIO	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	DANO POTENCIAL ASSOCIADO
0-1	0.733361111	-6.013.838.889	AM	PRESIDENTE FIGUEIREDO	22	27700000	Média
103 (Cruz)	0.785722222	-6.014.191.667	AM	PRESIDENTE FIGUEIREDO	10.3	924000	Média
111 (Índio)	0.789666667	-6.014.427.778	AM	PRESIDENTE FIGUEIREDO	5	48873	Média
158 (A-1)	0.738027778	-6.007.891.667	AM	PRESIDENTE FIGUEIREDO	30	53380000	Alta
161 (A-2)	0.732286944	-6.006.899.889	AM	PRESIDENTE FIGUEIREDO	22	1018054	Média
444 (A-3)	0.738423889	-60.075.865	AM	PRESIDENTE FIGUEIREDO	14.7	886241	Média
81-1	0.743194444	-6.020.141.667	AM	PRESIDENTE FIGUEIREDO	4	75522	Média
Pau D'Arco	0.756575833	-6.008.802.889	AM	PRESIDENTE FIGUEIREDO	18	52800	Média
Barragem da Cava	0.897686944	-5.237.897.083	AP	VITÓRIA DO JARI	25	1755555	Média
Mario Cruz	0.800835833	-5.187.452.583	AP	PEDRA BRANCA DO AMAPARI	28	25366731	Média
North Mill Pond	0.860611111	-5.172.833.333	AP	PEDRA BRANCA DO AMAPARI	27	11002505	Alta
TAP D	0.840833333	-5.189.027.778	AP	PEDRA BRANCA DO AMAPARI	36	6280000	Alta
VILA NOVA	0.401673888888889	-517.578.088.888.889	AP	MAZAGÃO	15.5	440300	Baixa
Barragem 01	-1.577.738.611	-403.224	BA	MAIQUINIQUE	12	348370	Média
Barragem 02	-1.577.838.889	-4.031.786.111	BA	MAIQUINIQUE	19	1438806	Baixa
BARRAGEM DE FLOTAÇÃO	-1.100.344.444	-3.928.702.778	BA	SANTALUZ	25	1403849	Alta
BARRAGEM DE LIXIVIAÇÃO	-1.100.363.889	-3.930.083.333	BA	SANTALUZ	22	207365	Alta
Barragem de rejeito não magnético 01	-1.368.294.444	-4.069.030.556	BA	MARACÁS	11.99	149486.93	Média
Barragem de rejeito não magnético 02	-1.368.673.639	-4.069.166.167	BA	MARACÁS	15.19	391923.43	Baixa
Barragem de rejeito não magnético 03	-1.368.725	-4.068.913.889	BA	MARACÁS	20.21	369292	Média
Barragem MCSA	-9.851.138.889	-3.982.658.333	BA	JAGUARARI	6.65	45400000	Baixa
Barragem Santa Rita	-1.418.910.889	-3.969.714.083	BA	ITAGIBÁ	27	23238613.66	Alta
BARRAGEM USINA/CIP - LAGO 1 E 2	-1.144.972.222	-3.908.972.222	BA	BARROCAS	23	13770423	Alta
BARRAGEM USINA/CIP - LAGO 3	-1.144.713.389	-3.907.119.583	BA	BARROCAS	11.17	1721104	Alta
BARRAGEM USINA/CIP - LAGO 4	-1.144.805.556	-3.909.805.556	BA	BARROCAS	17.89	248254.3	Alta
DIQUE DE SEGURANÇA	-114.495	-3.909.216.667	BA	BARROCAS	8.37	5000	Média
Barragem Norte	-2.076.757.083	-4.058.835.583	ES	ANCHIETA	7	1171600	Média
Barragem BM	-1.811.258.333	-4.778.447.222	GO	CATALÃO	28	1500000	Média
Barragem de Rejeitos do Córrego Baco Pari	-1.420.589.083	-4.940.621.472	GO	ALTO HORIZONTE	47	172057705	Alta
BARRAGEM DE REJEITOS PGDM	-1.481.022.222	-4.954.061.111	GO	PILAR DE GOIÁS	37	6183074.23	Alta
BARRAGEM DO BURACO	-181.625	-4.784.541.667	GO	CATALÃO	65	45000000	Alta
Barragem Morro Pelado	-1.639.388.889	-5.038.366.667	GO	SÃO LUÍS DE MONTES BELOS	12	600000	Alta
Barragem Morro Pelado 2	-1.639.713.889	-5.038.341.667	GO	SÃO LUÍS DE MONTES BELOS	20	70000	Baixa
Barragem MSG	-1.456.108.972	-4.996.019.583	GO	CRIXÁS	87	4941078.71	Alta
Unidade I	-1.814.666.667	-4.780.527.778	GO	OUVIDOR	31	100000	Alta
Unidade II	-1.814.972.222	-478.075	GO	OUVIDOR	25	1800000	Alta
Unidade IIB	-1.814.458.056	-4.781.122.472	GO	OUVIDOR	20	1100000	Alta
Barrragem do Vené	-1.301.333.333	-4.576.130.556	MA	GODOFREDO VIANA	29.5	9552200	Alta
5 (MAC)	-1.997.708.667	-4.389.300.278	MG	NOVA LIMA	78	13718217	Alta
5 (Mutuca)	-2.002.622.583	-439.425.625	MG	NOVA LIMA	55	7100000	Alta
7B	-19.967.365	-4.388.297.917	MG	NOVA LIMA	27.4	79431	Alta
8B	-1.995.942.056	-438.726	MG	NOVA LIMA	28	92635	Alta
Água Fria	-2.044.740.833	-4.364.382.222	MG	OURO PRETO	40	5648000	Alta
Alcindo Vieira	-1.957.450.889	-4.324.628.556	MG	ITABIRA	24	770600	Baixa
Alemães	-2.042.355.833	-4.375.310.278	MG	OURO PRETO	57	2385000	Alta
B	-2.012.441.667	-4.392.522.222	MG	NOVA LIMA	40	333000	Alta
B1	-2.044.422.222	-4.513.352.778	MG	ITAPECERICA	12	55000	Média
B2	-2.044.005.556	-45.132	MG	ITAPECERICA	13	798178	Alta
B2  - AGUA PRETA	-2.062.639.444	-4.376.538.611	MG	CONSELHEIRO LAFAIETE	29	265000	Alta
B3	-1.987.864.972	-4.337.824.722	MG	SÃO GONÇALO DO RIO ABAIXO	18.5	137575	Alta
B3/B4	-2.004.761.111	-4.395.436.111	MG	NOVA LIMA	55	1896000	Alta
B4	-2.043.786.111	-4.514.841.667	MG	ITAPECERICA	47	1090000	Alta
B5	-2.040.180.556	-4.353.416.667	MG	OURO PRETO	26.4	223840	Baixa
B7	-2.006.113.889	-4.396.133.333	MG	NOVA LIMA	24	127161	Média
Baia da UTM I	-2.043.633.333	-4.377.602.778	MG	OURO PRETO	17	12000	Alta
Baias da UTM II	-2.045.477.778	-4.377.694.444	MG	OURO PRETO	22	26000	Alta
Baixo João Pereira	-2.044.013.889	-4.390.513.889	MG	CONGONHAS	15.76	142500	Média
Barnabé	-2.042.583.333	-4.389.177.778	MG	CONGONHAS	25	318550	Alta
Barnabé 1	-2.043.402.778	-4.388.233.333	MG	CONGONHAS	33	407524	Alta
Barragem 01 - Jose Jaime	-2.013.715	-4.438.364.722	MG	ITATIAIUÇU	20	1200000	Alta
Barragem 02 - Canindé	-201.387	-4.438.018.889	MG	ITATIAIUÇU	40	86937.1	Média
Barragem 03	-2.031.343.889	-4.557.745.556	MG	ARCOS	10	900000	Média
Barragem 03 - Zé da Grota	-20.138.425	-4.438.658.611	MG	ITATIAIUÇU	32	3200000	Alta
Barragem 1	-1.749.764.472	-4.681.876.389	MG	PARACATU	21	1800000	Alta
Barragem 1 - Decantação	-2.037.861.111	-4.391.611.111	MG	ITABIRITO	12	40000	Alta
Barragem 2	-1.751.060.889	-4.682.832.778	MG	PARACATU	32.5	1600000	Alta
Barragem 2 - Decantação	-2.037.835.278	-4.391.623.889	MG	ITABIRITO	12	64000	Média
Barragem 3	-1.751.326.889	-4.682.841.389	MG	PARACATU	12	500000	Alta
BARRAGEM 7	-2.056.261.111	-4.395.086.111	MG	JECEABA	64	4418484.24	Alta
Barragem A	-1.964.972.222	-4.694.611.111	MG	ARAXÁ	8	30000	Alta
Barragem A0	-1.961.666.667	-4.703.333.333	MG	ARAXÁ	23.5	4600000	Alta
Barragem Aroeira	-1.797.261.111	-4.681.447.222	MG	VAZANTE	44	11200000	Alta
BARRAGEM AUXILIAR DO VIGIA	-2.043.444.444	-4.383.530.556	MG	OURO PRETO	35	3140693	Alta
Barragem B	-1.838.088.889	-4.692.719.444	MG	PATOS DE MINAS	25	3260000	Média
Barragem B1 - Mina Ipê	-2.011.980.556	-4.430.747.222	MG	BRUMADINHO	55	571815	Média
Barragem B1 - Mina Tico-Tico	-2.010.177.778	-4.428.905.556	MG	IGARAPÉ	22	22000	Alta
Barragem B1/B4	-1.963.361.111	-4.699.638.889	MG	ARAXÁ	58	24000000	Alta
Barragem B1A Ipê	-2.012.297.222	-4.431.258.333	MG	BRUMADINHO	37	22460	Alta
Barragem B1-Auxiliar - Mina Tico-Tico	-2.010.352.778	-4.428.819.444	MG	IGARAPÉ	68	657575	Alta
Barragem B2	-1.964.361.111	-4.697.416.667	MG	ARAXÁ	25	750000	Média
Barragem B2 - Mina Tico-Tico	-2.011.033.333	-4.428.708.333	MG	IGARAPÉ	80	2200000	Alta
BARRAGEM B2 AUXILIAR	-2.016.338.889	-4.385.100.278	MG	RIO ACIMA	33	6439465	Alta
BARRAGEM B4	-2.048.583.333	-4.388.583.333	MG	CONGONHAS	65	13001821	Alta
BARRAGEM B5	-2.048.972.222	-4.389.111.111	MG	CONGONHAS	41	5393580	Alta
Barragem BA-3	-1.982.330.556	-4.686.830.556	MG	TAPIRA	14	650000	Média
Barragem BD-2	-1.983.725	-4.683.736.111	MG	TAPIRA	21	2000000	Baixa
Barragem BD-5	-1.982.102.778	-4.684.180.556	MG	TAPIRA	33	2560000	Alta
Barragem BL-1	-1.984.247.222	-4.686.425	MG	TAPIRA	91	170000000	Alta
BARRAGEM BOM JARDIM	-2.121.157.528	-4.271.493.083	MG	MIRAÍ	23	1450000	Alta
Barragem BR	-198.385	-4.683.277.778	MG	TAPIRA	57	80000000	Alta
Barragem BRI	-1.978.886.111	-4.687.888.889	MG	TAPIRA	35	8300000	Alta
Barragem C	-1.837.980.556	-4.693.283.333	MG	PATOS DE MINAS	10	417600	Média
BARRAGEM CASA DE PEDRA	-2.050.583.333	-4.388.333.333	MG	CONGONHAS	84	21713715	Alta
Barragem Central	-2.027.287.583	-4.389.517.083	MG	ITABIRITO	25	466079.71	Média
Barragem da Grota	-2.026.875	-4.389.327.778	MG	ITABIRITO	13.5	109380.15	Alta
Barragem da Mina II	-19.657	-4.694.018.056	MG	ARAXÁ	25	22000	Baixa
Barragem de Aredes	-2.027.577.778	-4.389.822.222	MG	ITABIRITO	17	448281.81	Média
Barragem de Contenção de Sedimentos do Josino	-204.256	-4.386.469.167	MG	OURO PRETO	9	16636	Média
Barragem de Decantação de Água e Polpa - EBII - Mineroduto	-2.037.195.583	-4.235.480.778	MG	MATIPÓ	17	120942	Alta
Barragem de Germano	-202.165	-4.346.794.444	MG	MARIANA	163	129590000	Alta
Barragem de Mercês	-2.113.257.528	-4.335.034.472	MG	MERCÊS	29.5	237000	Baixa
BARRAGEM DIQUE 2	-2.028.597.389	-4.389.848.778	MG	ITABIRITO	25	396000	Média
BARRAGEM DO VIGIA	-2.043.798.194	-4.383.400.972	MG	OURO PRETO	30	812901	Alta
Barragem E	-1.965.020.389	-4.695.232.194	MG	ARAXÁ	13.96	90000	Alta
BARRAGEM ECOLÓGICA 1	-2.015.884.083	-4.384.299.583	MG	RIO ACIMA	15	41000	Alta
BARRAGEM ECOLÓGICA 2	-2.015.835.278	-4.384.735.472	MG	RIO ACIMA	6.5	104000	Alta
Barragem Eustáquio	-1.714.608.889	-4.690.219.167	MG	PARACATU	94	148349348	Alta
Barragem F	-1.965.416.667	-4.695.305.556	MG	ARAXÁ	25	35200	Alta
Barragem II Mina Engenho	-2.006.280.556	-4.379.472.222	MG	RIO ACIMA	40	14160.67	Alta
Barragem Mãe D'Água	-1.960.171.389	-4.302.991.667	MG	NOVA ERA	48	3100000	Média
Barragem Mina Engenho	-2.006.169.444	-4.379.469.444	MG	RIO ACIMA	32	549927	Alta
Barragem Mina Oeste (Somisa)	-2.016.733.333	-44.46	MG	ITATIAIUÇU	80	12535000	Alta
BARRAGEM MINAR	-2.028.172.222	-4.389.958.611	MG	ITABIRITO	1	87775	Alta
Barragem MRDM	-1.605.625	-4.312.916.667	MG	RIACHO DOS MACHADOS	30	5945479.06	Alta
Barragem Paciência	-2.021.045.472	-4.368.577.778	MG	ITABIRITO	34	1400000	Alta
BARRAGEM REJEITOS	-2.089.286.111	-4.670.527.778	MG	FORTALEZA DE MINAS	46.8	3250000	Alta
Barragem RG2W	-1.995.825.278	-4.363.480.889	MG	CAETÉ	61	550645	Média
Barragem Samambaia 0 (Zero)	-2.017.292.167	-444.485.475	MG	ITATIAIUÇU	46	7545160	Alta
Barragem Santo Antônio	-1.714.633.333	-4.685.626.111	MG	PARACATU	104	399058945	Alta
BARRAGEM SERRINHA	-2.017.466.667	-43.976	MG	BRUMADINHO	4	100000	Média
Bocaina	-2.044.067.778	-4.379.004.444	MG	OURO PRETO	56	955000	Alta
Borrachudo	-1.960.931	-432.633.825	MG	ITABIRA	6	190000	Alta
Cachoeirinha	-2.015.272.222	-4.396.544.444	MG	NOVA LIMA	45	2850833.82	Alta
CALCINADOS	-1.996.361.111	-4.383.888.889	MG	NOVA LIMA	57	3397349	Alta
Califórnia	-1.620.763.889	-3.994.694.444	MG	SALTO DA DIVISA	25.5	3000000	Alta
Cambucal I	-1.964.064.333	-4.324.147.778	MG	ITABIRA	15.4	220841	Alta
Cambucal II	-1.964.559.222	-43.242.225	MG	ITABIRA	21.3	157082	Alta
Campo Grande	-2.017.606.806	-4.348.731.667	MG	MARIANA	99.3	22978889	Alta
Capão da Serra	-2.006.866.667	-4.393.058.333	MG	NOVA LIMA	47	2230000	Alta
Capim Branco	-2.010.827.278	-4.407.366.778	MG	BRUMADINHO	27	470000	Alta
Capitão do Mato	-2.012.988.889	-4.392.569.444	MG	NOVA LIMA	36	2136495	Alta
CAVA B	-1.827.986.111	-4.686.211.111	MG	LAGAMAR	21	1890000	Baixa
CAVA C	-1.825.366.667	-4.684.102.778	MG	LAGAMAR	48	2817000	Baixa
Cemig I	-1.957.561.806	-4.320.475.694	MG	ITABIRA	32.5	8795438	Alta
Cemig II	-1.957.270.028	-4.319.753.639	MG	ITABIRA	22.35	870558	Alta
Cianita 1	-2.019.658.333	-4.386.708.333	MG	NOVA LIMA	23.05	450000	Alta
Clarificação Bocaina	-2.044.121.944	-437.845	MG	OURO PRETO	21	9126	Alta
Cobras	-2.013.298.444	-4.341.035.944	MG	CATAS ALTAS	13.45	20000	Média
COCURUTO	-1.997.361.111	-4.382.944.444	MG	NOVA LIMA	41	4240553	Alta
Conceição	-1.964.758.333	-4.327.413.889	MG	ITABIRA	60	35874318	Alta
CONTENÇÃO DE FINOS DE CDS I	-2.001.916.667	-4.349.277.778	MG	SANTA BÁRBARA	13	260000	Alta
CONTENÇÃO DE REJEITOS DE CDS II	-1.998.472.222	-4.347.138.889	MG	SANTA BÁRBARA	82	7907500	Alta
CONTENÇÃO DE REJEITOS DE CUIABÁ	-1.986.578.194	-4.372.755.972	MG	SABARÁ	90	7429355	Alta
Dicão	-1.987.477.861	-4.337.972.833	MG	SÃO GONÇALO DO RIO ABAIXO	32.7	989786	Alta
Dicão Leste	-2.013.928.972	-4.341.233.306	MG	CATAS ALTAS	22.5	150000	Média
Diogo	-1.992.994.222	-4.319.619.389	MG	RIO PIRACICABA	39	6571347.7	Alta
Dique 01	-2.011.829.167	-4.431.984.722	MG	BRUMADINHO	15	100	Média
Dique 02	-2.012.095.556	-4.432.283.333	MG	BRUMADINHO	20	400	Média
Dique B - Pilha de Estéril Alegria E (Dique Oficina)	-2.018.933	-4.350.887.583	MG	OURO PRETO	15	12600	Média
Dique B3 Ipê	-2.011.936.111	-4.431.594.444	MG	BRUMADINHO	23.5	10010305	Média
Dique B4 Ipê	-2.011.758.333	-4.431.719.444	MG	BRUMADINHO	25	6053	Baixa
DIQUE BATATEIRO DE BAIXO	-2.048.120.694	-4.392.236.694	MG	CONGONHAS	16	18300	Baixa
Dique BIII-2	-2.014.837.778	-4.445.998.389	MG	ITATIAIUÇU	9	19765.55	Média
Dique BIII-3	-2.014.776.139	-4.446.010.306	MG	ITAÚNA	17	24103.39	Média
Dique BIII-4	-2.014.677.694	-4.446.027.861	MG	ITAÚNA	6	6	Média
Dique BIII-5	-2.014.642.583	-4.446.067.194	MG	ITAÚNA	4	11	Média
Dique Couves (MBL)	-2.015.444.444	-4.444.638.889	MG	ITATIAIUÇU	24	13241	Média
DIQUE D	-1.998.555.556	-4.412.147.222	MG	BETIM	23	1540000	Alta
DIQUE DA PILHA DA VILA II	-2.045.222.222	-4.389.972.222	MG	CONGONHAS	28	18556	Baixa
Dique de Contenção de Sedimentos 01	-1.889.916.667	-4.340.833.333	MG	CONCEIÇÃO DO MATO DENTRO	12	318425	Média
Dique de Contenção de Sedimentos 02	-1.888.972.222	-4.340.527.778	MG	CONCEIÇÃO DO MATO DENTRO	12	634140	Média
Dique de Contenção de Sedimentos 03	-1.892.082.889	-4.340.657.306	MG	CONCEIÇÃO DO MATO DENTRO	15.5	473452	Alta
Dique de Contenção de Sedimentos 04	-1.893.166.667	-4.340.166.667	MG	CONCEIÇÃO DO MATO DENTRO	14.6	81360.9	Média
DIQUE DO BICHENTO IIIA	-20.485	-4.393.333.333	MG	CONGONHAS	15.5	116696	Baixa
DIQUE DO ENGENHO	-2.045.647.222	-4.389.447.222	MG	CONGONHAS	10	8821	Média
DIQUE DO ESMERIL IV	-2.048.527.778	-43.955	MG	CONGONHAS	38	282079	Alta
Dique Lisa	-2.014.975	-4.396.458.333	MG	NOVA LIMA	12	45562.87	Alta
Dique Norte da PDE 1	-2.030.186.944	-43.923.025	MG	ITABIRITO	25	25200	Média
Dique Oeste	-2.017.097.222	-4.445.458.333	MG	ITATIAIUÇU	16.7	85000	Baixa
Dique S3	-2.023.587.472	-4.342.299.194	MG	MARIANA	12	2950000	Alta
Dique S4	-2.024.127.778	-4.341.088.694	MG	MARIANA	12.5	1006318	Alta
